Date,Close,High,Low,Open,Volume,Daily Return,20 Day MA,50 Day MA
2023-01-03,123.09600830078125,128.83398716375524,122.21021158237852,128.22377748695044,112117500,,,
2023-01-04,124.36564636230469,126.62934820454495,123.105849949189,124.88728011064363,89113600,0.010314209851720824,,
2023-01-05,123.04681396484375,125.75341088924934,122.79092293482029,125.12351256937882,80962700,-0.010604475078422326,,
2023-01-06,127.57417297363281,128.23359640764676,122.91883185466375,124.02115734074498,87754700,0.03679379305247665,,
2023-01-09,128.09579467773438,131.30435066058786,127.83990374783173,128.41075122341888,70790800,0.004088771982157846,,
2023-01-10,128.66668701171875,129.18832083166095,126.09787998496417,128.20410381019116,63896200,0.0044567609375516515,,
2023-01-11,131.38311767578125,131.40279120059512,128.40094170907022,129.17846644203894,69458900,0.021112152081875557,,
2023-01-12,131.30438232421875,132.14095769176564,129.36547379890666,131.76696547602162,71379600,-0.0005992805845633775,,
2023-01-13,132.63308715820312,132.79056549396478,129.58202324711493,129.94617875784812,57809700,0.010119272567030713,,
2023-01-17,133.79444885253906,135.12313266732727,132.01301865225,132.7019674841355,63646600,0.008756198918529856,,
2023-01-18,133.07598876953125,136.42232060237055,132.8988218980733,134.6605787592018,69672800,-0.005369879611370587,,
2023-01-19,133.1350555419922,134.0995841255356,131.6587298451973,131.9638347529944,58280400,0.0004438574757708036,,
2023-01-20,135.69400024414062,135.84164181281548,132.10161400912494,133.14488168206822,80223600,0.019220668003111507,,
2023-01-23,138.88287353515625,141.0579999020067,135.72353008280908,135.94005904305521,81760300,0.023500473751810746,,
2023-01-24,140.2804718017578,140.90053342355856,138.0856717213938,138.0955084866108,66435100,0.010063143359773541,,
2023-01-25,139.62103271484375,140.18202862963406,136.61916767862735,138.6663409653264,65799300,-0.004700861627026542,,
2023-01-26,141.6879119873047,141.97332836189656,139.6604119793185,140.91037200424128,54105100,0.014803495091475494,,
2023-01-27,143.6267852783203,144.9062704324847,140.82177572822627,140.90051489349364,70555800,0.013684112242329904,,
2023-01-30,140.7430419921875,143.2527985417942,140.59541543784155,142.6721140707524,64015300,-0.020078032663229828,,
2023-01-31,142.0126495361328,142.0618633846007,140.03437897857034,140.4477482733763,65874500,0.009020748208751872,133.63599853515626,
2023-02-01,143.13465881347656,144.29604258311244,139.0895417079852,141.69771052689384,77663600,0.007900769973721689,134.637931060791,
2023-02-02,148.4395751953125,148.79387880270858,145.83139183654328,146.54986584813346,118339000,0.0370624167885778,135.8416275024414,
2023-02-03,152.06155395507812,154.89610423261004,145.49682718195612,145.6936676139042,154357300,0.02440035788973338,137.29236450195313,
2023-02-06,149.3352508544922,150.6836384438328,148.40024764766747,150.1620046015634,69858300,-0.017928944099777744,138.3804183959961,
2023-02-07,152.2091522216797,152.77999988075524,148.2624474794368,148.2624474794368,83322600,0.0192446281152181,139.58608627319336,
2023-02-08,149.5222625732422,152.14028370808583,148.7840997356859,151.45133472995892,64120100,-0.017652615557074203,140.62886505126954,
2023-02-09,148.4888153076172,151.89421276586904,148.04592065726195,151.35289040745275,56007100,-0.0069116615000309745,141.48414993286133,
2023-02-10,148.85354614257812,149.1788354914484,147.08911426452642,147.32569243849323,57450700,0.0024562849006866116,142.3616081237793,
2023-02-13,151.6529998779297,152.05713357186568,148.76483299254943,148.79440338379132,62199000,0.018806765494656874,143.31260375976564,
2023-02-14,151.01226806640625,151.5741355635304,148.7056873791277,149.9476888936107,61707600,-0.004224986067134728,144.173494720459,
2023-02-15,153.11184692382812,153.27941747242824,150.69683660205456,150.92354792770303,65573800,0.013903366158957375,145.17528762817383,
2023-02-16,151.5150146484375,154.0975960108758,151.16015487764588,151.3178586328593,68167900,-0.010429188253375576,146.0942855834961,
2023-02-17,150.37156677246094,150.8151376986906,148.69584602843153,150.17442580979125,59144100,-0.007546762798589457,146.82816390991212,
2023-02-21,146.35964965820312,149.1393862953431,146.29065710385296,148.05508866222715,58867200,-0.026680024690628912,147.20200271606444,
2023-02-22,146.78353881835938,147.8086807909047,145.0585291708209,146.74410160351695,51011300,0.0028962160072545373,147.52715606689452,
2023-02-23,147.2665252685547,148.1931042440918,145.1373820304515,147.94667430552937,48394200,0.003290467405837605,147.90943069458007,
2023-02-24,144.61495971679688,145.0881010134071,143.6390916917033,145.00924162382364,55469600,-0.01800521569258473,148.0557830810547,
2023-02-27,145.8076934814453,147.03984342133134,145.34440390077674,145.60070071444446,44998500,0.008247651328632921,148.16482849121093,
2023-02-28,145.30496215820312,146.95111245136155,144.73324285815977,144.9501024216552,50547000,-0.0034479066998351904,148.3929244995117,
2023-03-01,143.23495483398438,145.12753521820275,142.93923585875515,144.7332532784917,55479000,-0.014245950678305142,148.45403976440429,
2023-03-02,143.8263702392578,144.61494903595985,141.84506394442167,142.31822024697658,52238100,0.0041289879691652764,148.48862533569337,
2023-03-03,148.87322998046875,148.952089353373,145.2260704687506,145.9259229618336,70732300,0.03508994722466685,148.51030807495118,
2023-03-06,151.63327026367188,154.06799923846452,151.26855877090114,151.59383305095145,87558000,0.018539533827305554,148.48889389038087,
2023-03-07,149.4351043701172,151.83039589059405,148.9718149331636,151.50510660246357,56182000,-0.01449659358881028,148.4938865661621,
2023-03-08,150.68699645996094,151.2784344169459,149.6618543808646,150.62785567244086,47204800,0.008377496674028428,148.41777877807618,
2023-03-09,148.43954467773438,152.33313497413033,148.08468493947933,151.3671337581158,53833600,-0.01491470289424568,148.36364288330077,
2023-03-10,146.37937927246094,148.78453780981002,145.5020893181875,148.06496662146847,68572400,-0.01387881786990186,148.25817108154297,
2023-03-13,148.3212432861328,150.95311305935627,145.59079552733544,145.69922529511118,84457100,0.013265966991548916,148.2315559387207,
2023-03-14,150.41099548339844,151.20942619347872,147.95656256587642,149.11970482478546,73695900,0.014089365427137013,148.16945571899413,
2023-03-15,150.80526733398438,151.06154904978908,147.7791005346977,149.03096880678774,77167900,0.002621296729795608,148.15910568237305,142.61224334716798
2023-03-16,153.62442016601562,154.22570978036399,149.47453364061312,149.98711209240733,76161100,0.01869399445967468,148.18473434448242,143.22281158447265
2023-03-17,152.7865753173828,154.50173325502132,152.07685582876627,153.85115455030763,98944600,-0.0054538519834762544,148.2483123779297,143.79123016357423
2023-03-20,155.1522674560547,155.5662829465371,151.94867858194203,152.85555389921097,73641400,0.015483638753978513,148.4873474121094,144.43333923339844
2023-03-21,157.0054473876953,157.1237289497417,154.3045697408097,155.07344501678244,73938300,0.011944265862344094,149.01963729858397,145.0219647216797
2023-03-22,155.57615661621094,159.82460651427928,155.5564380089166,157.0251659140942,75701800,-0.009103447015790578,149.45926818847656,145.5715719604492
2023-03-23,156.66043090820312,159.24302685232914,155.4282812343858,156.56186795883147,67622100,0.006969411737474562,149.928963470459,146.1314468383789
2023-03-24,157.9615936279297,158.0503047976887,155.59587218901564,156.5914437450547,59196500,0.008305624542096268,150.59629516601564,146.66301635742187
2023-03-27,156.0197296142578,158.47417734472043,155.61558088418133,157.6560281012329,52390300,-0.012293266793989344,151.10689697265624,147.15732330322265
2023-03-28,155.39874267578125,156.22675885726497,153.75259217928735,155.71418027651652,45992200,-0.0039801821219142,151.61158599853516,147.61263641357422
2023-03-29,158.47415161132812,158.7501519087846,157.0744315196879,157.09413508315754,51305700,0.019790436412753465,152.37354583740233,148.10623046875
2023-03-30,160.0414581298828,160.1498879032855,158.96702721945866,159.22330893800608,49501700,0.009889982073534975,153.1843002319336,148.64553985595703
2023-03-31,162.54519653320312,162.64377453412575,159.597903820846,160.12033413577524,68749800,0.015644311371422193,153.8678985595703,149.23374267578126
2023-04-03,163.79705810546875,163.91533966892132,161.87490749491164,161.92419649331373,56976200,0.007701621450314056,154.47608795166016,149.79580383300782
2023-04-04,163.26478576660156,164.4574983782598,162.75220722625122,164.22093523724538,46278300,-0.0032495842417661347,155.16757202148438,150.28344207763672
2023-04-05,161.4214630126953,162.69304993016723,159.48946069965245,162.38747921010668,51511700,-0.011290387852169181,155.70429534912108,150.70626190185547
2023-04-06,162.3086395263672,162.60435849941234,159.6866210280676,160.11047335808198,45390100,0.005496025727397269,156.39775009155272,151.16001403808593
2023-04-10,159.71617126464844,159.71617126464844,157.7940207437735,159.11488161033475,47716900,-0.01597246005686348,157.0645896911621,151.5205792236328
